Depe0de0ts,Applica0tI0come,Coapplica0tI0come,Loa0Amou0t,Loa0_Amou0t_Term,result
0,5849,0,0,360,1
1,4583,1508,128,360,0
0,3000,0,66,360,1
0,2583,2358,120,360,1
0,6000,0,141,360,1
2,5417,4196,267,360,1
0,2333,1516,95,360,1
3,3036,2504,158,360,0
2,4006,1526,168,360,1
1,12841,10968,349,360,0
2,3200,700,70,360,1
2,2500,1840,109,360,1
2,3073,8106,200,360,1
0,1853,2840,114,360,0
2,1299,1086,17,120,1
0,4950,0,125,360,1
1,3596,0,100,240,1
0,3510,0,76,360,0
0,4887,0,133,360,0
0,2600,3500,115,120,1
0,7660,0,104,360,0
1,5955,5625,315,360,1
0,2600,1911,116,360,0
1,3717,2925,151,360,0
0,9560,0,191,360,1
0,2799,2253,122,360,1
2,4226,1040,110,360,1
0,1442,0,35,360,0
2,3750,2083,120,360,1
1,4166,3369,201,360,0
0,3167,0,74,360,0
1,4692,0,106,360,0
0,3500,1667,114,360,1
3,12500,3000,320,360,0
0,2275,2067,320,360,1
0,1828,1330,100,360,0
0,3667,1459,144,360,1
0,4166,7210,184,360,1
0,3748,1668,110,360,1
